Level (M or G),Number,Name,Description,Sales Description,Elevation,Allow Multiples,Option Group,Option Room,Option Type,Cost Group
M,4978,PL_Opt_BLR_Original_TC_91,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4979,PL_Opt_BLR_Original_TC_92,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4980,PL_Opt_BLR_New_1_TC_92,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4981,PL_Opt_BLR_Original_TC_93,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4982,PL_Opt_BLR_New_1_TC_93,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4983,PL_Opt_BLR_Original_TC_94,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4984,PL_Opt_BLR_New_1_TC_94,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4985,PL_Opt_BLR_Original_TC_95,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4986,PL_Opt_BLR_Original_TC_96,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4987,PL_Opt_BLR_New_1_TC_96,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4988,PL_Opt_BLR_Original_TC_97,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4989,PL_Opt_BLR_New_1_TC_97,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4990,PL_Opt_BLR_New_2_TC_97,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4991,PL_Opt_BLR_New_2_TC_98,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4992,PL_Opt_BLR_Original_TC_99,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4993,PL_Opt_BLR_Original_TC_100,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4994,PL_Opt_BLR_New_1_TC_100,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4995,PL_Opt_BLR_Original_TC_103,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4996,PL_Opt_BLR_Original_TC_104,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4997,PL_Opt_BLR_New_1_TC_104,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4998,PL_Opt_BLR_New_2_TC_104,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4999,PL_Opt_BLR_Original_TC_105,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5000,PL_Opt_BLR_Original_TC_106,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5001,PL_Opt_BLR_Original_TC_107,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5002,PL_Opt_BLR_New_1_TC_107,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5003,PL_Opt_BLR_Original_TC_108,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5004,PL_Opt_BLR_New_1_TC_108,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5005,PL_Opt_BLR_Original_TC_109,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5006,PL_Opt_BLR_New_1_TC_109,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5007,PL_Opt_BLR_Original_TC_110,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5008,PL_Opt_BLR_Original_TC_111,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5009,PL_Opt_BLR_New_1_TC_111,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5010,PL_Opt_BLR_New_BPBA_TC_111,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5011,PL_Opt_BLR_Original_TC_55,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5012,PL_Opt_BLR_Original_TC_56,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5013,PL_Opt_BLR_Original_TC_53,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5014,PL_Opt_BLR_New_1_TC_53,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5015,PL_Opt_BLR_Original_TC_54,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5016,PL_Opt_BLR_New_1_TC_54,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5017,PL_Opt_BLR_Original_TC_98,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5018,PL_Opt_BLR_Original_TC_101,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5019,PL_Opt_BLR_New_1_TC_101,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5020,PL_Opt_BLR_New_2_TC_101,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5021,PL_Opt_BLR_Original_TC_102,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5022,PL_Opt_BLR_Original_TC_112,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5023,PL_Opt_BLR_Original_TC_113,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5024,PL_Opt_BLR_Original_TC_114,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5025,PL_Opt_BLR_Original_TC_115,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5026,PL_Opt_BLR_Original_TC_116,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5027,PL_Opt_BLR_New_1_TC_116,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5028,PL_Opt_BLR_Original_TC_52,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5029,PL_Opt_BLR_New_1_TC_52,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,5030,PL_Opt_BLR_Original_TC_51,,,FALSE,FALSE,PL_OptGrp_Interior,,,
